angle_right_shoulder_hip_knee,angle_right_hip_knee_ankle,angle_left_shoulder_hip_knee,angle_left_hip_knee_ankle,angle_right_elbow_shoulder_hip,angle_left_elbow_shoulder_hip,angle_right_wrist_elbow_shoulder,angle_left_wrist_elbow_shoulder,ndright_shoulder,aright_shoulder,ndright_elbow,aright_elbow,ndright_wrist,aright_wrist,ndright_hip,aright_hip,ndright_knee,aright_knee,ndright_ankle,aright_ankle,ndleft_shoulder,aleft_shoulder,ndleft_elbow,aleft_elbow,ndleft_wrist,aleft_wrist,ndleft_hip,aleft_hip,ndleft_knee,aleft_knee,ndleft_ankle,aleft_ankle,pose
238.0,28.7,175.6,178.0,50.2,3.3,10.9,60.9,0.06,111.1,0.19,124.5,0.03,118.1,0.39,96.6,0.57,113.1,0.51,94.6,0.08,51.6,0.11,59.5,0.0,102.3,0.4,83.8,0.7,87.7,1.0,88.9,1.0
182.9,185.0,121.6,29.2,11.5,52.2,78.5,11.6,0.08,128.7,0.1,120.7,0.0,80.9,0.41,96.8,0.71,92.1,1.0,91.3,0.06,69.3,0.19,55.4,0.02,62.5,0.39,83.9,0.58,67.1,0.52,85.5,1.0
237.0,28.6,177.7,175.7,60.9,14.4,22.4,76.9,0.07,109.4,0.18,127.9,0.02,126.9,0.4,96.1,0.58,112.8,0.52,93.9,0.1,52.8,0.11,57.7,0.0,102.4,0.42,83.2,0.71,87.8,1.0,88.7,1.0
182.2,185.0,122.0,28.7,31.3,59.6,96.4,17.7,0.1,127.0,0.1,121.4,0.0,73.2,0.42,96.6,0.72,92.0,1.0,91.2,0.08,68.6,0.19,52.6,0.02,57.9,0.41,83.8,0.59,67.2,0.53,85.1,1.0
236.5,30.2,177.0,175.8,71.1,49.5,35.9,105.4,0.1,116.8,0.18,134.6,0.02,161.6,0.42,97.5,0.6,113.5,0.53,94.5,0.11,51.9,0.11,59.6,0.0,135.6,0.43,84.3,0.71,88.5,1.0,89.2,1.0
182.7,184.7,125.4,31.0,96.2,72.5,210.4,30.5,0.12,126.0,0.1,116.4,0.0,38.0,0.44,96.0,0.73,91.8,1.0,91.2,0.1,70.0,0.19,48.0,0.04,48.5,0.42,83.6,0.61,67.9,0.54,85.5,1.0
236.2,30.5,175.8,177.1,81.1,271.9,47.1,136.9,0.09,119.8,0.18,142.3,0.03,186.7,0.41,98.6,0.6,114.4,0.53,95.7,0.1,51.6,0.07,65.3,0.0,192.4,0.42,85.6,0.72,89.2,1.0,89.9,1.0
183.2,184.4,126.6,33.0,106.7,78.6,201.4,40.8,0.12,126.9,0.08,116.8,0.0,16.0,0.44,95.5,0.73,91.5,1.0,90.9,0.1,69.0,0.18,44.0,0.03,27.1,0.42,83.2,0.61,67.8,0.55,85.1,1.0
231.0,31.2,174.0,178.1,267.1,242.6,60.1,166.2,0.06,121.0,0.15,150.6,0.03,204.9,0.4,99.6,0.6,114.1,0.52,96.4,0.07,51.0,0.02,59.7,0.0,218.7,0.41,86.6,0.71,89.2,1.0,89.9,1.0
183.0,184.6,126.0,34.6,124.1,94.6,195.1,300.2,0.12,127.7,0.05,121.1,0.0,306.8,0.44,95.8,0.73,91.8,1.0,91.2,0.1,71.0,0.16,37.5,0.02,353.3,0.42,83.8,0.6,68.0,0.55,85.5,1.0
230.6,30.6,174.6,178.4,260.4,239.3,66.4,166.0,0.05,118.4,0.12,153.4,0.02,213.6,0.39,98.6,0.6,113.3,0.52,95.5,0.07,48.4,0.0,56.1,0.0,231.3,0.4,85.7,0.71,88.8,1.0,89.7,1.0
183.2,184.6,126.4,33.2,119.7,102.4,204.5,291.4,0.08,131.6,0.01,120.9,0.0,293.8,0.42,95.8,0.72,91.7,1.0,91.1,0.07,71.2,0.12,32.6,0.0,332.7,0.4,83.9,0.59,68.0,0.53,85.8,1.0
230.4,32.0,173.9,178.2,255.3,240.0,72.9,161.6,0.06,116.4,0.13,156.9,0.04,222.7,0.4,98.1,0.6,113.0,0.53,95.2,0.08,45.7,0.0,53.9,0.03,240.5,0.41,85.7,0.71,88.7,1.0,89.5,1.0
184.3,183.4,129.0,35.5,124.9,107.6,200.0,286.2,0.09,131.6,0.0,125.1,0.02,289.6,0.42,95.6,0.72,91.8,1.0,91.1,0.07,72.0,0.12,29.2,0.01,323.8,0.41,83.6,0.6,68.6,0.55,86.1,1.0
231.3,33.2,173.7,178.1,246.6,236.7,81.3,161.9,0.07,114.8,0.12,160.6,0.06,233.6,0.4,97.3,0.6,112.5,0.53,94.6,0.09,44.1,0.0,45.9,0.04,249.7,0.42,85.0,0.72,88.2,1.0,89.0,1.0
185.2,182.1,129.2,35.8,130.3,112.3,190.9,280.8,0.1,132.8,0.0,135.7,0.03,289.4,0.42,96.1,0.72,92.4,1.0,91.4,0.07,75.4,0.1,26.5,0.02,314.9,0.41,84.4,0.59,69.2,0.54,86.9,1.0
231.2,31.9,175.2,177.3,239.1,226.2,89.3,171.3,0.06,114.9,0.11,165.0,0.06,236.5,0.41,97.2,0.6,112.1,0.54,94.4,0.08,47.7,0.0,41.2,0.03,254.2,0.42,85.1,0.72,88.5,1.0,89.2,1.0
183.0,184.7,127.5,323.9,140.6,124.2,180.7,271.3,0.11,129.4,0.0,149.6,0.05,287.5,0.44,95.8,0.73,91.8,1.0,91.2,0.09,74.4,0.11,19.2,0.05,304.0,0.43,84.3,0.6,69.1,0.56,86.1,1.0
229.8,37.2,174.9,175.5,216.7,200.8,116.1,196.0,0.04,110.6,0.06,190.4,0.1,257.1,0.4,97.9,0.59,112.4,0.54,94.4,0.07,49.6,0.0,324.5,0.09,269.1,0.42,86.0,0.71,89.0,1.0,89.1,1.0
182.9,184.0,132.2,38.1,161.2,141.5,149.8,247.5,0.06,131.9,0.0,226.4,0.07,276.4,0.41,95.5,0.72,91.5,1.0,90.9,0.02,72.4,0.03,350.7,0.08,282.0,0.38,83.3,0.58,68.5,0.54,85.6,1.0
229.1,37.9,175.4,175.8,210.4,199.0,123.8,192.9,0.03,109.2,0.04,201.0,0.11,261.5,0.4,97.8,0.58,112.3,0.54,94.3,0.06,47.3,0.0,320.0,0.1,273.5,0.41,85.6,0.71,88.8,1.0,89.1,1.0
182.3,183.7,131.5,320.9,164.5,148.1,154.1,239.4,0.04,131.1,0.0,232.4,0.09,271.9,0.4,95.2,0.71,91.3,1.0,90.7,0.01,71.6,0.01,342.8,0.08,277.8,0.38,83.1,0.57,68.5,0.53,85.6,1.0
229.4,36.7,175.9,176.0,205.0,197.3,132.2,192.5,0.03,105.1,0.02,208.1,0.12,265.2,0.4,97.2,0.58,111.9,0.54,93.7,0.05,49.2,0.0,313.7,0.1,275.7,0.41,85.1,0.72,88.5,1.0,88.9,1.0
